Pre-assign Room Name,Email Address
Tutor Room,null@null.com
Seminar 1,null@null.com
S1 - Student A/Student B,null@null.com
S1 - Student A/Student B,null@null.com
S1 - Student A/Student B,null@null.com
S1 - Student A/Student B,null@null.com
S1 - Student A/Student B,null@null.com
S1 - Student A/Student B,null@null.com
S1 - Student A/Student B,null@null.com
Seminar 2,null@null.com
S2 - Student B/Student C,null@null.com
S2 - Student B/Student C,null@null.com
S2 - Student B/Student C,null@null.com
S2 - Student B/Student C,null@null.com
S2 - Student B/Student C,null@null.com
S2 - Student B/Student C,null@null.com
S2 - Student B/Student C,null@null.com
Seminar 3,null@null.com
S3 - Student D/Student E,null@null.com
S3 - Student D/Student E,null@null.com
S3 - Student D/Student E,null@null.com
S3 - Student D/Student E,null@null.com
S3 - Student D/Student E,null@null.com
S3 - Student D/Student E,null@null.com
S3 - Student D/Student E,null@null.com
Room 101,null@null.com
Room 102,null@null.com
Room 103,null@null.com
Room 104,null@null.com
Room 105,null@null.com
Room 106,null@null.com
Room 107,null@null.com
Room 108,null@null.com
Room 109,null@null.com
Room 110,null@null.com
Room 111,null@null.com
Room 112,null@null.com
Mentor 1's Corner Office,null@null.com
Mentor 2's Corner Office,null@null.com
